case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
epsilon_ceiling,gbm_reference_addon,0.2,0.0,0.0,0.0,0.0
epsilon_ceiling,gbm_reference_addon,0.4,0.0,0.0,0.0,0.0
epsilon_ceiling,gbm_reference_addon,0.55,0.0,0.0,0.0,0.0
epsilon_low,healthy_reference,0.05,0.003984236282534321,0.02716732400237376,0.0016799147750553092,0.003664834680252582
epsilon_low,healthy_reference,0.1,9.108712483490458e-05,0.003026356744658898,0.00012292059329672977,8.557033161005201e-05
epsilon_low,healthy_reference,0.2,0.00010330578512396694,0.03981594431537516,0.0026223059903302537,7.339670345807292e-05
epsilon_low,healthy_reference,0.4,0.00020765556863016545,0.036512785644628565,0.0004916823731869191,4.813176206974745e-05
epsilon_low,healthy_reference,0.55,0.0001837897445322551,0.07054121487533749,0.002991067770220457,0.00014098317538491223
epsilon_low,alzheimers,0.05,0.0009638440923409658,0.00873234070736828,0.000556111667222775,0.000851126006405245
epsilon_low,alzheimers,0.1,4.9440090969767385e-05,0.0010842226446960979,6.6733400066743e-05,4.479977297711102e-05
epsilon_low,alzheimers,0.2,0.00011212647866793743,0.035750459336835405,0.0018907796685574546,3.3769958120544175e-05
epsilon_low,alzheimers,0.4,0.0003755304367418979,0.17480833403926255,0.0026915804693582457,1.889766706297813e-05
epsilon_low,alzheimers,0.55,0.0003489183531053733,0.5158439400937134,0.0023134245356467575,0.0003305545797063214
epsilon_low,gbm_reference_addon,0.05,0.0010080905730607181,0.010507279630147082,0.0008560178051703476,0.0008869665536175297
epsilon_low,gbm_reference_addon,0.1,0.0,0.002957520029589489,0.0,6.860267565134137e-07
epsilon_low,gbm_reference_addon,0.2,3.082139004469102e-05,0.03862671091964032,0.0015163743977303357,6.680088110644355e-05
epsilon_low,gbm_reference_addon,0.4,0.0002477496077297878,0.4333067722462651,0.004793699708953936,0.00025542971967928985
epsilon_low,gbm_reference_addon,0.55,0.0002740176467364498,0.937638879313571,0.005258395088903578,0.0008676958469338025
frontier_high,healthy_reference,0.05,0.0,0.0,0.0,0.0
frontier_high,healthy_reference,0.1,0.0,0.0,0.0,0.0
frontier_high,healthy_reference,0.2,0.0,0.0,0.0,0.0
frontier_high,healthy_reference,0.4,0.0,0.0,0.0,0.0
frontier_high,healthy_reference,0.55,0.0,0.0,0.0,0.0
frontier_high,alzheimers,0.05,0.0,0.0,0.0,0.0
frontier_high,alzheimers,0.1,0.0,0.0,0.0,0.0
frontier_high,alzheimers,0.2,0.0,0.0,0.0,0.0
frontier_high,alzheimers,0.4,0.0,0.0,0.0,0.0
frontier_high,alzheimers,0.55,0.0,0.0,0.0,0.0
frontier_high,gbm_reference_addon,0.05,0.0,0.0,0.0,0.0
frontier_high,gbm_reference_addon,0.1,0.0,0.0,0.0,0.0
frontier_high,gbm_reference_addon,0.2,0.0,0.0,0.0,0.0
frontier_high,gbm_reference_addon,0.4,0.0,0.0,0.0,0.0
frontier_high,gbm_reference_addon,0.55,0.0,0.0,0.0,0.0
frontier_low,healthy_reference,0.05,0.0,0.0,0.0,0.0
frontier_low,healthy_reference,0.1,0.0,0.0,0.0,0.0
