case,sample,target_removed_fraction,node_relerr_vs_ref,VI_bits_vs_ref,top1_absdiff_vs_ref,gini_absdiff_vs_ref
eps_rescue_high_soft_early,prcc,0.1,0.0025760525436060804,0.05271410245974195,0.0011148469297469488,0.0021555035759306396
eps_rescue_high_soft_early,prcc,0.2,0.005373467112597547,0.1944378262628348,0.009042647319058572,0.003569675048665788
eps_rescue_high_soft_early,prcc,0.4,0.017203787222603864,0.8573019490202256,0.01735975933463102,0.008134791526156482
eps_rescue_high_soft_early,prcc,0.55,0.00844400396432111,1.3803466736480452,0.02245620244204566,0.0016106153189867634
epsilon_ceiling,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
epsilon_ceiling,nondiseased_kidney,0.1,0.0,0.0,0.0,0.0
epsilon_ceiling,nondiseased_kidney,0.2,0.0,0.0,0.0,0.0
epsilon_ceiling,nondiseased_kidney,0.4,0.0,0.0,0.0,0.0
epsilon_ceiling,nondiseased_kidney,0.55,0.0,0.0,0.0,0.0
epsilon_ceiling,prcc,0.05,0.0,0.0,0.0,0.0
epsilon_ceiling,prcc,0.1,0.0,0.0,0.0,0.0
epsilon_ceiling,prcc,0.2,0.0,0.0,0.0,0.0
epsilon_ceiling,prcc,0.4,0.0,0.0,0.0,0.0
epsilon_ceiling,prcc,0.55,0.0,0.0,0.0,0.0
epsilon_low,nondiseased_kidney,0.05,0.0010073438617014363,0.04008045439931607,0.0007072570725707231,0.000880290264732686
epsilon_low,nondiseased_kidney,0.1,0.0,0.04973081086136233,0.00011275112751128746,1.6202829332678803e-05
epsilon_low,nondiseased_kidney,0.2,5.165022467847735e-05,0.151609373323069,0.0033620336203362133,8.598025968464817e-05
epsilon_low,nondiseased_kidney,0.4,0.00024213493834206748,0.5900691325808047,0.0018040180401804329,2.5035375161852613e-05
epsilon_low,nondiseased_kidney,0.55,0.00022952625780389276,1.3607590395243996,0.012597375973759761,0.0006824881818618955
epsilon_low,prcc,0.05,0.0009724533876909842,0.03253853589977851,0.0005662714563793997,0.000855943544134874
epsilon_low,prcc,0.1,3.9329046467268404e-05,0.02073147974018852,0.00023004777915412722,4.5086429746099554e-05
epsilon_low,prcc,0.2,8.918617614269788e-05,0.1022894581403655,0.0023181737745531783,5.305822358825374e-05
epsilon_low,prcc,0.4,0.0002688091753531854,0.6627756332863548,0.0019111661652804757,0.0003550659880573459
epsilon_low,prcc,0.55,0.00023785926660059464,1.1261837487548547,0.0023004777915413,0.0004084868656488716
frontier_high,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
frontier_high,nondiseased_kidney,0.1,0.0,0.0,0.0,0.0
frontier_high,nondiseased_kidney,0.2,0.0,0.0,0.0,0.0
frontier_high,nondiseased_kidney,0.4,0.0,0.0,0.0,0.0
frontier_high,nondiseased_kidney,0.55,0.0,0.0,0.0,0.0
frontier_high,prcc,0.05,0.0,0.0,0.0,0.0
frontier_high,prcc,0.1,0.0,0.0,0.0,0.0
frontier_high,prcc,0.2,0.0,0.0,0.0,0.0
frontier_high,prcc,0.4,0.0,0.0,0.0,0.0
frontier_high,prcc,0.55,0.0,0.0,0.0,0.0
frontier_low,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
frontier_low,nondiseased_kidney,0.1,0.0,0.0,0.0,0.0
frontier_low,nondiseased_kidney,0.2,0.0,0.0,0.0,0.0
frontier_low,nondiseased_kidney,0.4,0.0,0.0,0.0,0.0
frontier_low,nondiseased_kidney,0.55,0.0,0.0,0.0,0.0
frontier_low,prcc,0.05,0.0,0.0,0.0,0.0
frontier_low,prcc,0.1,0.0,0.0,0.0,0.0
frontier_low,prcc,0.2,0.0,0.0,0.0,0.0
frontier_low,prcc,0.4,0.0,0.0,0.0,0.0
frontier_low,prcc,0.55,0.0,0.0,0.0,0.0
reference,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
reference,nondiseased_kidney,0.1,0.0,0.0,0.0,0.0
reference,nondiseased_kidney,0.2,0.0,0.0,0.0,0.0
reference,nondiseased_kidney,0.4,0.0,0.0,0.0,0.0
reference,nondiseased_kidney,0.55,0.0,0.0,0.0,0.0
reference,prcc,0.05,0.0,0.0,0.0,0.0
reference,prcc,0.1,0.0,0.0,0.0,0.0
reference,prcc,0.2,0.0,0.0,0.0,0.0
reference,prcc,0.4,0.0,0.0,0.0,0.0
reference,prcc,0.55,0.0,0.0,0.0,0.0
rescue_looser,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
rescue_looser,nondiseased_kidney,0.1,0.002505580611361669,0.006688733198309649,0.0006867568675686803,0.0021934614822982645
rescue_looser,nondiseased_kidney,0.2,0.002492123340736532,0.1451431944308652,0.001578515785157858,0.001957455147195253
rescue_looser,nondiseased_kidney,0.4,5.1886058216157316e-05,0.6866579347609516,0.011121361213612124,0.0006670544053140048
rescue_looser,nondiseased_kidney,0.55,0.02130003672420125,1.5955058391817118,0.04116441164411644,0.00504520720597057
rescue_looser,prcc,0.05,0.0,0.0,0.0,0.0
rescue_looser,prcc,0.1,0.002517058973905178,0.007533714456293694,0.0010617589807113692,0.0022100364054924437
rescue_looser,prcc,0.2,0.0024972129319955406,0.0891460230049006,0.00030083171120157126,0.001886837351374293
rescue_looser,prcc,0.4,8.96030584510618e-05,0.7438960834814701,0.012245620244204558,0.0010892056526683458
rescue_looser,prcc,0.55,0.02128840436075322,1.2153430691732652,0.006565209697398711,0.00842356875035244
rescue_tighter,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
rescue_tighter,nondiseased_kidney,0.1,0.0,0.0,0.0,0.0
rescue_tighter,nondiseased_kidney,0.2,0.00760549558390579,0.030010867607852987,0.0021115211152111513,0.005858379353119947
rescue_tighter,nondiseased_kidney,0.4,0.005396150054480361,0.5165472459142464,0.008733087330873301,0.0024150589114062537
rescue_tighter,nondiseased_kidney,0.55,0.0010328681601175175,1.558879929661913,0.018265682656826543,0.0008588719210529394
rescue_tighter,prcc,0.05,0.0,0.0,0.0,0.0
rescue_tighter,prcc,0.1,0.0,0.0,0.0,0.0
rescue_tighter,prcc,0.2,0.0076031215161649944,0.025394058455290747,0.0017695983011856153,0.00582847006630427
rescue_tighter,prcc,0.4,0.005406051193214061,0.6046881391942485,0.0075738807290745,0.0022589645658703805
rescue_tighter,prcc,0.55,0.0009910802775024777,1.0210110008952213,0.006034330207043026,0.0009837875411411456
soft_early,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
soft_early,nondiseased_kidney,0.1,0.005022550225502255,0.012600995791139269,0.0012300123001230123,0.00438348765555685
soft_early,nondiseased_kidney,0.2,0.010368782604204329,0.25014681278138795,0.009583845838458394,0.007350449007877735
soft_early,nondiseased_kidney,0.4,0.0011069025752780228,0.8195790193762171,0.0036695366953669595,0.00036226992485000054
soft_early,nondiseased_kidney,0.55,0.0011017260374586854,1.6370690832143993,0.0177839278392784,0.0009584306239951434
soft_early,prcc,0.05,0.0,0.0,0.0,0.0
soft_early,prcc,0.1,0.005034117947810356,0.013939049514899438,0.001663422403114484,0.004404069106423325
soft_early,prcc,0.2,0.01032329988851728,0.1761726753144366,0.00750309679702707,0.007283927914039756
soft_early,prcc,0.4,0.0010453690152623877,0.8455877050581435,0.00973279065652094,5.227572806210112e-05
soft_early,prcc,0.55,0.0009514370664023786,1.2353139388949792,0.021005131835073465,0.0008951617703245596
soft_late,nondiseased_kidney,0.05,0.0,0.0,0.0,0.0
soft_late,nondiseased_kidney,0.1,0.0,0.0,0.0,0.0
soft_late,nondiseased_kidney,0.2,0.0050746345746604,0.08393075390650395,0.0024087740877408725,0.0037511220238513054
soft_late,nondiseased_kidney,0.4,0.0108614815199156,0.7593800169100611,0.018163181631816294,0.004940198656412154
soft_late,nondiseased_kidney,0.55,0.0011476312890194638,1.5517510910253982,0.0010762607626076393,0.00028574875971276725
soft_late,prcc,0.05,0.0,0.0,0.0,0.0
soft_late,prcc,0.1,0.0,0.0,0.0,0.0
soft_late,prcc,0.2,0.005105908584169453,0.07137420446833787,0.003309148823217145,0.003715985960148105
soft_late,prcc,0.4,0.01078223470027777,0.7926420690645166,0.01912935763581669,0.004322064517462643
soft_late,prcc,0.55,0.001070366699702676,1.2372639881413185,0.01026367014687668,0.001053367847050346
