step,nodes,merges_this_step,cumulative_merges,u,mean_mass
502,79584,32,17976,0.3194711025805076,1.2258745476477684
503,79552,32,18008,0.3200398094831876,1.2263676588897827
504,79520,32,18040,0.3206085163858676,1.226861167002012
505,79488,32,18072,0.32117722328854764,1.227355072463768
506,79456,32,18104,0.3217459301912277,1.227849375755135
507,79424,32,18136,0.32231463709390773,1.2283440773569703
508,79392,32,18168,0.32288334399658775,1.228839177750907
509,79360,32,18200,0.32345205089926776,1.2293346774193548
510,79328,32,18232,0.32402075780194783,1.2298305768455022
511,79296,32,18264,0.32458946470462785,1.2303268765133173
512,79264,32,18296,0.32515817160730787,1.2308235769075495
513,79232,32,18328,0.32572687850998794,1.2313206785137318
514,79200,32,18360,0.32629558541266795,1.231818181818182
515,79168,32,18392,0.32686429231534797,1.2323160873080032
516,79136,32,18424,0.327432999218028,1.2328143954710877
517,79104,32,18456,0.32800170612070806,1.2333131067961165
518,79072,32,18488,0.3285704130233881,1.2338122217725618
519,79040,32,18520,0.3291391199260681,1.2343117408906883
520,79008,32,18552,0.3297078268287481,1.2348116646415552
521,78976,32,18584,0.3302765337314282,1.2353119935170178
522,78944,32,18616,0.3308452406341082,1.2358127280097284
523,78912,32,18648,0.3314139475367882,1.2363138686131387
524,78880,32,18680,0.3319826544394683,1.236815415821501
525,78848,32,18712,0.3325513613421483,1.23731737012987
526,78816,32,18744,0.3331200682448283,1.2378197320341047
527,78784,32,18776,0.33368877514750833,1.2383225020308692
528,78752,32,18808,0.3342574820501884,1.2388256806176352
529,78720,32,18840,0.3348261889528684,1.2393292682926829
530,78688,32,18872,0.33539489585554844,1.2398332655551036
531,78656,32,18904,0.33596360275822845,1.2403376729048006
532,78624,32,18936,0.3365323096609085,1.2408424908424909
533,78592,32,18968,0.33710101656358854,1.241347719869707
534,78560,32,19000,0.33766972346626856,1.2418533604887985
535,78528,32,19032,0.33823843036894863,1.242359413202934
536,78496,32,19064,0.33880713727162864,1.2428658785161026
537,78464,32,19096,0.33937584417430866,1.2433727569331159
538,78432,32,19128,0.3399445510769887,1.2438800489596082
539,78400,32,19160,0.34051325797966875,1.2443877551020408
540,78368,32,19192,0.34108196488234876,1.2448958758677011
541,78336,32,19224,0.3416506717850288,1.2454044117647058
542,78304,32,19256,0.3422193786877088,1.2459133633020025
543,78272,32,19288,0.34278808559038887,1.2464227309893705
544,78240,32,19320,0.3433567924930689,1.2469325153374233
545,78208,32,19352,0.3439254993957489,1.2474427168576105
546,78176,32,19384,0.344494206298429,1.2479533360622186
547,78144,32,19416,0.345062913201109,1.2484643734643734
548,78112,32,19448,0.345631620103789,1.2489758295780418
549,78080,32,19480,0.346200327006469,1.2494877049180328
550,78048,32,19512,0.3467690339091491,1.25
551,78016,32,19544,0.3473377408118291,1.250512715340443
552,77984,32,19576,0.3479064477145091,1.251025851456709
553,77952,32,19608,0.34847515461718914,1.251539408866995
554,77920,32,19640,0.3490438615198692,1.252053388090349
555,77888,32,19672,0.34961256842254923,1.252567789646672
556,77856,32,19704,0.35018127532522925,1.2530826140567202
557,77824,32,19736,0.3507499822279093,1.2535978618421053
558,77792,32,19768,0.35131868913058933,1.2541135335252982
559,77760,32,19800,0.35188739603326935,1.2546296296296295
560,77728,32,19832,0.35245610293594937,1.2551461506792918
561,77696,32,19864,0.35302480983862944,1.255663097199341
562,77664,32,19896,0.35359351674130945,1.2561804697156984
563,77632,32,19928,0.35416222364398947,1.2566982687551524
564,77600,32,19960,0.3547309305466695,1.2572164948453608
565,77568,32,19992,0.35529963744934956,1.2577351485148516
566,77536,32,20024,0.3558683443520296,1.258254230293025
567,77504,32,20056,0.3564370512547096,1.258773740710157
568,77472,32,20088,0.3570057581573896,1.2592936802973977
569,77441,31,20119,0.35755669296936093,1.259797781536912
570,77410,31,20150,0.3581076277813322,1.2603022865262885
571,77379,31,20181,0.3586585625933035,1.2608071957507851
572,77348,31,20212,0.35920949740527475,1.2613125096964368
573,77317,31,20243,0.359760432217246,1.2618182288500588
574,77286,31,20274,0.36031136702921734,1.262324353699247
575,77255,31,20305,0.3608623018411886,1.2628308847323797
576,77224,31,20336,0.3614132366531599,1.26333782243862
577,77193,31,20367,0.36196417146513116,1.2638451673079165
578,77162,31,20398,0.36251510627710243,1.2643529198310048
579,77131,31,20429,0.3630660410890737,1.26486108049941
580,77100,31,20460,0.363616975901045,1.2653696498054474
581,77069,31,20491,0.3641679107130163,1.2658786282422245
582,77038,31,20522,0.36471884552498757,1.2663880163036423
583,77007,31,20553,0.36526978033695884,1.2668978144843974
584,76976,31,20584,0.3658207151489301,1.2674080232799834
585,76945,31,20615,0.3663716499609014,1.2679186431866918
586,76914,31,20646,0.3669225847728727,1.2684296747016148
587,76883,31,20677,0.367473519584844,1.268941118322646
588,76852,31,20708,0.36802445439681525,1.2694529745484828
589,76821,31,20739,0.3685753892087865,1.2699652438786269
590,76790,31,20770,0.3691263240207578,1.2704779268133872
591,76759,31,20801,0.36967725883272906,1.2709910238538804
592,76728,31,20832,0.3702281936447004,1.2715045355020331
593,76697,31,20863,0.37077912845667166,1.272018462260584
594,76666,31,20894,0.37133006326864293,1.2725328046330837
595,76635,31,20925,0.3718809980806142,1.273047563123899
596,76604,31,20956,0.37243193289258547,1.2735627382382122
597,76573,31,20987,0.37298286770455674,1.2740783304820238
598,76542,31,21018,0.37353380251652807,1.274594340362154
599,76511,31,21049,0.37408473732849934,1.275110768386245
600,76480,31,21080,0.3746356721404706,1.2756276150627615
601,76449,31,21111,0.3751866069524419,1.2761448809009928
602,76418,31,21142,0.37573754176441315,1.276662566411055
603,76387,31,21173,0.3762884765763844,1.277180672103892
604,76356,31,21204,0.37683941138835575,1.2776991984912778
605,76325,31,21235,0.377390346200327,1.2782181460858173
606,76294,31,21266,0.3779412810122983,1.278737515400949
607,76263,31,21297,0.37849221582426956,1.279257306950946
608,76232,31,21328,0.37904315063624083,1.2797775212509181
609,76201,31,21359,0.3795940854482121,1.2802981588168134
610,76170,31,21390,0.38014502026018343,1.2808192201654194
611,76139,31,21421,0.3806959550721547,1.2813407058143658
612,76108,31,21452,0.381246889884126,1.2818626162821254
613,76077,31,21483,0.38179782469609724,1.2823849520880162
614,76046,31,21514,0.3823487595080685,1.2829077137522027
615,76015,31,21545,0.3828996943200398,1.2834309017956982
616,75984,31,21576,0.3834506291320111,1.2839545167403663
617,75953,31,21607,0.3840015639439824,1.2844785591089227
618,75922,31,21638,0.38455249875595365,1.2850030294249362
619,75891,31,21669,0.3851034335679249,1.2855279282128316
620,75860,31,21700,0.3856543683798962,1.2860532559978908
621,75829,31,21731,0.38620530319186747,1.286579013306255
622,75798,31,21762,0.3867562380038388,1.2871052006649253
623,75767,31,21793,0.38730717281581006,1.287631818601766
624,75736,31,21824,0.38785810762778133,1.2881588676455054
625,75705,31,21855,0.3884090424397526,1.288686348325738
626,75674,31,21886,0.3889599772517239,1.289214261172926
627,75643,31,21917,0.38951091206369515,1.289742606718401
628,75612,31,21948,0.3900618468756665,1.290271385494366
629,75581,31,21979,0.39061278168763774,1.2908005980338975
630,75550,31,22010,0.391163716499609,1.2913302448709465
631,75519,31,22041,0.3917146513115803,1.2918603265403408
632,75488,31,22072,0.39226558612355156,1.292390843577787
633,75457,31,22103,0.39281652093552283,1.2929217965198723
634,75426,31,22134,0.39336745574749415,1.293453185904065
635,75395,31,22165,0.3939183905594654,1.293985012268718
636,75364,31,22196,0.3944693253714367,1.2945172761530703
637,75333,31,22227,0.39502026018340797,1.2950499780972482
638,75302,31,22258,0.39557119499537924,1.295583118642267
639,75271,31,22289,0.3961221298073505,1.296116698330034
640,75240,31,22320,0.39667306461932184,1.2966507177033493
641,75209,31,22351,0.3972239994312931,1.2971851773059075
642,75178,31,22382,0.3977749342432644,1.2977200776823006
643,75147,31,22413,0.39832586905523565,1.2982554193780191
644,75116,31,22444,0.3988768038672069,1.2987912029394537
645,75085,31,22475,0.39942773867917825,1.2993274289138976
646,75054,31,22506,0.3999786734911495,1.2998640978495484
647,75023,31,22537,0.4005296083031208,1.3004012102955094
648,74992,31,22568,0.40108054311509206,1.3009387668017922
649,74962,30,22598,0.4016137058363546,1.3014594060990903
650,74932,30,22628,0.4021468685576171,1.3019804622858058
651,74902,30,22658,0.40268003127887964,1.302501935862861
652,74872,30,22688,0.40321319400014216,1.3030238273319799
653,74842,30,22718,0.4037463567214047,1.3035461371956922
654,74812,30,22748,0.4042795194426672,1.304068865957333
655,74782,30,22778,0.40481268216392974,1.3045920141210452
656,74752,30,22808,0.4053458448851923,1.3051155821917808
657,74722,30,22838,0.40587900760645484,1.3056395706753032
658,74692,30,22868,0.40641217032771737,1.3061639800781877
659,74662,30,22898,0.4069453330489799,1.3066888109078245
660,74632,30,22928,0.4074784957702424,1.3072140636724194
661,74602,30,22958,0.40801165849150495,1.307739738880995
662,74572,30,22988,0.4085448212127675,1.3082658370433944
663,74542,30,23018,0.40907798393403,1.3087923586702799
664,74512,30,23048,0.4096111466552925,1.3093193042731373
665,74482,30,23078,0.41014430937655505,1.309846674364276
666,74452,30,23108,0.4106774720978176,1.3103744694568313
667,74422,30,23138,0.4112106348190801,1.3109026900647658
668,74392,30,23168,0.4117437975403426,1.3114313367028714
669,74362,30,23198,0.41227696026160515,1.31196040988677
670,74332,30,23228,0.4128101229828677,1.3124899101329173
671,74302,30,23258,0.41334328570413026,1.3130198379586013
672,74272,30,23288,0.4138764484253928,1.3135501938819474
673,74242,30,23318,0.4144096111466553,1.3140809784219176
674,74212,30,23348,0.41494277386791784,1.314612192098313
675,74182,30,23378,0.41547593658918036,1.315143835431776
676,74152,30,23408,0.4160090993104429,1.315675908943791
677,74122,30,23438,0.4165422620317054,1.3162084131566876
678,74092,30,23468,0.41707542475296794,1.3167413485936403
679,74062,30,23498,0.41760858747423046,1.317274715778672
680,74032,30,23528,0.418141750195493,1.3178085152366543
681,74002,30,23558,0.4186749129167555,1.318342747493311
682,73972,30,23588,0.41920807563801804,1.3188774130752177
683,73942,30,23618,0.41974123835928057,1.319412512509805
684,73912,30,23648,0.4202744010805431,1.31994804632536
685,73882,30,23678,0.4208075638018056,1.3204840150510273
686,73852,30,23708,0.4213407265230682,1.321020419216812
687,73822,30,23738,0.4218738892443307,1.3215572593535803
688,73792,30,23768,0.42240705196559325,1.3220945359930616
689,73762,30,23798,0.4229402146868558,1.3226322496678506
690,73732,30,23828,0.4234733774081183,1.323170400911409
691,73702,30,23858,0.4240065401293808,1.3237089902580663
692,73672,30,23888,0.42453970285064335,1.3242480182430232
693,73642,30,23918,0.4250728655719059,1.324787485402352
694,73612,30,23948,0.4256060282931684,1.325327392272999
695,73582,30,23978,0.42613919101443093,1.3258677393927862
696,73552,30,24008,0.42667235373569345,1.3264085273004134
697,73522,30,24038,0.427205516456956,1.3269497565354589
698,73492,30,24068,0.4277386791782185,1.3274914276383825
699,73462,30,24098,0.42827184189948103,1.3280335411505269
700,73432,30,24128,0.42880500462074356,1.3285760976141192
701,73402,30,24158,0.42933816734200614,1.3291190975722733
702,73372,30,24188,0.42987133006326866,1.3296625415689909
703,73342,30,24218,0.4304044927845312,1.3302064301491643
704,73312,30,24248,0.4309376555057937,1.330750763858577
705,73282,30,24278,0.43147081822705624,1.331295543243907
706,73252,30,24308,0.43200398094831877,1.3318407688527276
707,73222,30,24338,0.4325371436695813,1.3323864412335091
708,73192,30,24368,0.4330703063908438,1.3329325609356213
709,73162,30,24398,0.43360346911210634,1.3334791285093355
710,73132,30,24428,0.43413663183336887,1.334026144505825
711,73102,30,24458,0.4346697945546314,1.334573609477169
712,73072,30,24488,0.4352029572758939,1.335121523976352
713,73042,30,24518,0.43573611999715645,1.3356698885572684
714,73012,30,24548,0.43626928271841897,1.336218703774722
715,72982,30,24578,0.4368024454396815,1.336767970184429
716,72952,30,24608,0.4373356081609441,1.33731768834302
717,72922,30,24638,0.4378687708822066,1.3378678588080415
718,72892,30,24668,0.43840193360346913,1.3384184821379574
719,72862,30,24698,0.43893509632473166,1.3389695588921522
720,72832,30,24728,0.4394682590459942,1.3395210896309315
721,72802,30,24758,0.4400014217672567,1.3400730749155243
722,72772,30,24788,0.44053458448851923,1.3406255153080855
723,72742,30,24818,0.44106774720978176,1.3411784113716971
724,72712,30,24848,0.4416009099310443,1.3417317636703707
725,72682,30,24878,0.4421340726523068,1.3422855727690488
726,72652,30,24908,0.44266723537356933,1.3428398392336067
727,72622,30,24938,0.44320039809483186,1.3433945636308557
728,72592,30,24968,0.4437335608160944,1.343949746528543
729,72562,30,24998,0.4442667235373569,1.3445053884953557
730,72532,30,25028,0.44479988625861944,1.345061490100921
731,72502,30,25058,0.445333048979882,1.3456180519158092
732,72472,30,25088,0.44586621170114454,1.3461750745115355
733,72443,29,25117,0.4463816023316983,1.3467139682232927
734,72414,29,25146,0.4468969929622521,1.3472532935620183
735,72385,29,25175,0.4474123835928059,1.3477930510464875
736,72356,29,25204,0.4479277742233596,1.3483332411963072
737,72327,29,25233,0.4484431648539134,1.3488738645319176
738,72298,29,25262,0.44895855548446717,1.349414921574594
739,72269,29,25291,0.44947394611502095,1.3499564128464487
740,72240,29,25320,0.44998933674557473,1.350498338870432
741,72211,29,25349,0.4505047273761285,1.3510407001703342
742,72182,29,25378,0.4510201180066823,1.3515834972707876
743,72153,29,25407,0.45153550863723607,1.3521267306972684
744,72124,29,25436,0.45205089926778985,1.3526704009760968
745,72095,29,25465,0.45256628989834363,1.3532145086344407
746,72066,29,25494,0.4530816805288974,1.3537590542003164
747,72037,29,25523,0.4535970711594512,1.3543040382025904
748,72008,29,25552,0.454112461790005,1.354849461170981
749,71979,29,25581,0.45462785242055875,1.3553953236360605
750,71950,29,25610,0.45514324305111253,1.3559416261292565
751,71921,29,25639,0.4556586336816663,1.3564883691828533
752,71892,29,25668,0.4561740243122201,1.357035553329995
753,71863,29,25697,0.4566894149427739,1.3575831791046853
754,71834,29,25726,0.45720480557332766,1.3581312470417908
755,71805,29,25755,0.45772019620388144,1.358679757677042
756,71776,29,25784,0.4582355868344352,1.3592287115470352
757,71747,29,25813,0.458750977464989,1.3597781091892345
758,71718,29,25842,0.4592663680955428,1.3603279511419728
759,71689,29,25871,0.45978175872609656,1.3608782379444546
760,71660,29,25900,0.46029714935665034,1.361428970136757
761,71631,29,25929,0.4608125399872041,1.3619801482598317
762,71602,29,25958,0.4613279306177579,1.3625317728555069
763,71573,29,25987,0.4618433212483117,1.3630838444664888
764,71544,29,26016,0.4623587118788654,1.3636363636363635
765,71515,29,26045,0.4628741025094192,1.3641893309095994
766,71486,29,26074,0.46338949313997296,1.3647427468315474
767,71457,29,26103,0.46390488377052674,1.3652966119484444
768,71428,29,26132,0.4644202744010805,1.3658509268074144
769,71399,29,26161,0.4649356650316343,1.36640569195647
770,71370,29,26190,0.4654510556621881,1.3669609079445144
771,71341,29,26219,0.46596644629274186,1.367516575321344
772,71312,29,26248,0.46648183692329565,1.3680726946376487
773,71283,29,26277,0.4669972275538494,1.368629266445015
774,71254,29,26306,0.4675126181844032,1.3691862912959272
775,71225,29,26335,0.468028008814957,1.3697437697437698
776,71196,29,26364,0.46854339944551077,1.3703017023428283
777,71167,29,26393,0.46905879007606455,1.370860089648292
778,71138,29,26422,0.4695741807066183,1.3714189322162558
779,71109,29,26451,0.4700895713371721,1.3719782306037211
780,71080,29,26480,0.4706049619677259,1.3725379853685988
781,71051,29,26509,0.47112035259827967,1.3730981970697105
782,71022,29,26538,0.47163574322883345,1.3736588662667906
783,70993,29,26567,0.47215113385938723,1.374219993520488
784,70964,29,26596,0.472666524489941,1.374781579392368
785,70935,29,26625,0.4731819151204948,1.3753436244449144
786,70906,29,26654,0.47369730575104857,1.375906129241531
787,70877,29,26683,0.47421269638160235,1.376469094346544
788,70848,29,26712,0.47472808701215613,1.3770325203252032
789,70819,29,26741,0.4752434776427099,1.3775964077436846
790,70790,29,26770,0.4757588682732637,1.3781607571690917
791,70761,29,26799,0.47627425890381747,1.3787255691694578
792,70732,29,26828,0.4767896495343712,1.3792908443137477
793,70703,29,26857,0.477305040164925,1.3798565831718597
794,70674,29,26886,0.47782043079547876,1.3804227863146277
795,70645,29,26915,0.47833582142603254,1.3809894543138226
796,70616,29,26944,0.4788512120565863,1.3815565877421547
797,70587,29,26973,0.4793666026871401,1.3821241871732755
798,70558,29,27002,0.4798819933176939,1.3826922531817796
799,70529,29,27031,0.48039738394824766,1.3832607863432063
800,70500,29,27060,0.48091277457880144,1.3838297872340426
801,70471,29,27089,0.4814281652093552,1.3843992564317238
802,70442,29,27118,0.481943555839909,1.384969194514636
803,70413,29,27147,0.4824589464704628,1.3855396020621191
804,70384,29,27176,0.48297433710101656,1.386110479654467
805,70355,29,27205,0.48348972773157034,1.38668182787293
806,70326,29,27234,0.4840051183621241,1.3872536472997186
807,70297,29,27263,0.4845205089926779,1.3878259385180023
808,70268,29,27292,0.4850358996232317,1.3883987021119144
809,70239,29,27321,0.48555129025378546,1.3889719386665527
810,70210,29,27350,0.48606668088433924,1.3895456487679818
811,70181,29,27379,0.486582071514893,1.3901198330032345
812,70152,29,27408,0.4870974621454468,1.3906944919603148
813,70123,29,27437,0.4876128527760006,1.391269626228199
814,70094,29,27466,0.48812824340655436,1.3918452363968385
815,70065,29,27495,0.48864363403710814,1.3924213230571612
816,70036,29,27524,0.4891590246676619,1.3929978868010737
817,70007,29,27553,0.4896744152982157,1.3935749282214636
818,69978,29,27582,0.4901898059287695,1.394152447912201
819,69950,28,27610,0.49068742446861446,1.394710507505361
820,69922,28,27638,0.4911850430084595,1.3952690140442208
821,69894,28,27666,0.49168266154830453,1.3958279680659285
822,69866,28,27694,0.49218028008814957,1.3963873701084935
823,69838,28,27722,0.4926778986279946,1.3969472207107878
824,69810,28,27750,0.49317551716783964,1.3975075204125484
825,69782,28,27778,0.4936731357076847,1.3980682697543778
826,69754,28,27806,0.49417075424752965,1.3986294692777475
827,69726,28,27834,0.4946683727873747,1.3991911195249978
828,69698,28,27862,0.4951659913272197,1.399753221039341
829,69670,28,27890,0.49566360986706476,1.4003157743648629
830,69642,28,27918,0.4961612284069098,1.4008787800465237
831,69614,28,27946,0.49665884694675483,1.4014422386301606
832,69586,28,27974,0.49715646548659986,1.4020061506624897
833,69558,28,28002,0.4976540840264449,1.4025705166911067
834,69530,28,28030,0.4981517025662899,1.4031353372644901
835,69502,28,28058,0.4986493211061349,1.403700612932002
836,69474,28,28086,0.49914693964597995,1.4042663442438899
837,69446,28,28114,0.499644558185825,1.4048325317512889
838,69418,28,28142,0.50014217672567,1.4053991760062232
839,69390,28,28170,0.500639795265515,1.4059662775616082
840,69362,28,28198,0.50113741380536,1.4065338369712523
841,69334,28,28226,0.5016350323452051,1.4071018547898577
842,69306,28,28254,0.5021326508850501,1.407670331573024
843,69278,28,28282,0.5026302694248952,1.4082392678772482
844,69250,28,28310,0.5031278879647402,1.4088086642599278
845,69222,28,28338,0.5036255065045852,1.4093785212793621
846,69194,28,28366,0.5041231250444302,1.409948839494754
847,69166,28,28394,0.5046207435842752,1.4105196194662117
848,69138,28,28422,0.5051183621241203,1.4110908617547513
849,69110,28,28450,0.5056159806639653,1.4116625669222977
850,69082,28,28478,0.5061135992038104,1.4122347355316869
851,69054,28,28506,0.5066112177436554,1.4128073681466677
852,69026,28,28534,0.5071088362835003,1.413380465331904
853,68998,28,28562,0.5076064548233454,1.4139540276529754
854,68970,28,28590,0.5081040733631904,1.414528055676381
855,68942,28,28618,0.5086016919030355,1.4151025499695395
856,68914,28,28646,0.5090993104428805,1.4156775111007922
857,68886,28,28674,0.5095969289827256,1.4162529396394041
858,68858,28,28702,0.5100945475225706,1.4168288361555665
859,68830,28,28730,0.5105921660624155,1.4174052012203981
860,68802,28,28758,0.5110897846022606,1.4179820354059476
861,68774,28,28786,0.5115874031421056,1.418559339285195
862,68746,28,28814,0.5120850216819507,1.4191371134320543
863,68718,28,28842,0.5125826402217957,1.4197153584213744
864,68690,28,28870,0.5130802587616408,1.4202940748289417
865,68662,28,28898,0.5135778773014857,1.4208732632314818
866,68634,28,28926,0.5140754958413307,1.4214529242066614
867,68606,28,28954,0.5145731143811758,1.4220330583330905
868,68578,28,28982,0.5150707329210208,1.4226136661903235
869,68550,28,29010,0.5155683514608659,1.423194748358862
870,68522,28,29038,0.5160659700007109,1.423776305420157
871,68494,28,29066,0.516563588540556,1.4243583379566094
872,68466,28,29094,0.5170612070804009,1.424940846551573
873,68438,28,29122,0.5175588256202459,1.4255238317893568
874,68410,28,29150,0.518056444160091,1.4261072942552258
875,68382,28,29178,0.518554062699936,1.4266912345354041
876,68354,28,29206,0.5190516812397811,1.4272756532170758
877,68326,28,29234,0.519549299779626,1.427860550888388
878,68298,28,29262,0.5200469183194711,1.428445928138452
879,68270,28,29290,0.5205445368593161,1.4290317855573458
880,68242,28,29318,0.5210421553991612,1.4296181237361156
881,68214,28,29346,0.5215397739390062,1.430204943266778
882,68186,28,29374,0.5220373924788512,1.4307922447423225
883,68158,28,29402,0.5225350110186963,1.4313800287567124
884,68130,28,29430,0.5230326295585412,1.4319682959048876
885,68102,28,29458,0.5235302480983863,1.432557046782767
886,68074,28,29486,0.5240278666382313,1.4331462819872491
887,68046,28,29514,0.5245254851780764,1.4337360021162155
888,68018,28,29542,0.5250231037179214,1.434326207768532
889,67990,28,29570,0.5255207222577664,1.4349168995440507
890,67962,28,29598,0.5260183407976115,1.4355080780436127
891,67934,28,29626,0.5265159593374564,1.4360997438690493
892,67906,28,29654,0.5270135778773015,1.436691897623185
893,67878,28,29682,0.5275111964171465,1.4372845399098382
894,67850,28,29710,0.5280088149569916,1.4378776713338246
895,67822,28,29738,0.5285064334968366,1.4384712925009584
896,67794,28,29766,0.5290040520366815,1.4390654040180546
897,67766,28,29794,0.5295016705765266,1.4396600064929315
898,67738,28,29822,0.5299992891163716,1.440255100534412
899,67710,28,29850,0.5304969076562167,1.440850686752326
900,67682,28,29878,0.5309945261960617,1.4414467657575132
901,67654,28,29906,0.5314921447359068,1.4420433381618234
902,67626,28,29934,0.5319897632757518,1.442640404578121
903,67598,28,29962,0.5324873818155967,1.4432379656202847
904,67570,28,29990,0.5329850003554418,1.4438360219032116
905,67542,28,30018,0.5334826188952868,1.4444345740428177
906,67514,28,30046,0.5339802374351319,1.4450336226560416
907,67486,28,30074,0.5344778559749769,1.4456331683608452
908,67459,27,30101,0.5349577024241132,1.4462117730769801
909,67432,27,30128,0.5354375488732495,1.4467908411436707
910,67405,27,30155,0.5359173953223857,1.4473703731177212
911,67378,27,30182,0.536397241771522,1.4479503695568285
912,67351,27,30209,0.5368770882206583,1.448530831019584
913,67324,27,30236,0.5373569346697945,1.4491117580654744
914,67297,27,30263,0.5378367811189309,1.449693151254885
915,67270,27,30290,0.5383166275680671,1.4502750111491007
916,67243,27,30317,0.5387964740172034,1.4508573383103074
917,67216,27,30344,0.5392763204663397,1.451440133301595
918,67189,27,30371,0.5397561669154759,1.4520233966869578
919,67162,27,30398,0.5402360133646122,1.4526071290312974
920,67135,27,30425,0.5407158598137485,1.4531913309004245
921,67108,27,30452,0.5411957062628847,1.4537760028610598
922,67081,27,30479,0.5416755527120211,1.4543611454808365
923,67054,27,30506,0.5421553991611573,1.4549467593283025
924,67027,27,30533,0.5426352456102936,1.4555328449729215
925,67000,27,30560,0.5431150920594299,1.4561194029850746
926,66973,27,30587,0.5435949385085661,1.4567064339360638
927,66946,27,30614,0.5440747849577025,1.4572939383981118
928,66919,27,30641,0.5445546314068387,1.4578819169443655
929,66892,27,30668,0.545034477855975,1.4584703701488968
930,66865,27,30695,0.5455143243051113,1.4590592985867046
931,66838,27,30722,0.5459941707542475,1.4596487028337173
932,66811,27,30749,0.5464740172033838,1.4602385834667944
933,66784,27,30776,0.5469538636525201,1.4608289410637278
934,66757,27,30803,0.5474337101016563,1.4614197762032446
935,66730,27,30830,0.5479135565507927,1.4620110894650082
936,66703,27,30857,0.5483934029999289,1.4626028814296208
937,66676,27,30884,0.5488732494490652,1.463195152678625
938,66649,27,30911,0.5493530958982015,1.4637879037945056
939,66622,27,30938,0.5498329423473377,1.4643811353606917
940,66595,27,30965,0.550312788796474,1.4649748479615587
941,66568,27,30992,0.5507926352456103,1.46556904218243
942,66541,27,31019,0.5512724816947465,1.466163718609579
943,66514,27,31046,0.5517523281438829,1.4667588778302312
944,66487,27,31073,0.5522321745930191,1.4673545204325658
945,66460,27,31100,0.5527120210421554,1.4679506470057178
946,66433,27,31127,0.5531918674912917,1.4685472581397798
947,66406,27,31154,0.5536717139404279,1.469144354425805
948,66379,27,31181,0.5541515603895643,1.4697419364558069
949,66352,27,31208,0.5546314068387005,1.4703400048227635
950,66325,27,31235,0.5551112532878367,1.4709385601206182
951,66298,27,31262,0.5555910997369731,1.471537602944282
952,66271,27,31289,0.5560709461861093,1.472137133889635
953,66244,27,31316,0.5565507926352457,1.4727371535535294
954,66217,27,31343,0.5570306390843819,1.4733376625337904
955,66190,27,31370,0.5575104855335181,1.473938661429219
956,66163,27,31397,0.5579903319826545,1.4745401508395932
957,66136,27,31424,0.5584701784317907,1.4751421313656707
958,66109,27,31451,0.558950024880927,1.4757446036091908
959,66082,27,31478,0.5594298713300633,1.4763475681728762
960,66055,27,31505,0.5599097177791995,1.4769510256604346
961,66028,27,31532,0.5603895642283359,1.4775549766765614
962,66001,27,31559,0.5608694106774721,1.478159421826942
963,65974,27,31586,0.5613492571266083,1.4787643617182527
964,65947,27,31613,0.5618291035757447,1.4793697969581634
965,65920,27,31640,0.5623089500248809,1.4799757281553398
966,65893,27,31667,0.5627887964740172,1.4805821559194452
967,65866,27,31694,0.5632686429231535,1.4811890808611423
968,65839,27,31721,0.5637484893722897,1.481796503592096
969,65812,27,31748,0.5642283358214261,1.4824044247249741
970,65785,27,31775,0.5647081822705623,1.4830128448734514
971,65758,27,31802,0.5651880287196985,1.4836217646522096
972,65731,27,31829,0.5656678751688349,1.484231184676941
973,65704,27,31856,0.5661477216179711,1.4848411055643491
974,65677,27,31883,0.5666275680671075,1.4854515279321527
975,65650,27,31910,0.5671074145162437,1.486062452399086
976,65623,27,31937,0.5675872609653799,1.4866738795849017
977,65596,27,31964,0.5680671074145163,1.4872858101103725
978,65569,27,31991,0.5685469538636525,1.4878982445972944
979,65542,27,32018,0.5690268003127888,1.4885111836684874
980,65515,27,32045,0.5695066467619251,1.4891246279477983
981,65488,27,32072,0.5699864932110613,1.4897385780601027
982,65461,27,32099,0.5704663396601977,1.4903530346313072
983,65434,27,32126,0.5709461861093339,1.4909679982883517
984,65407,27,32153,0.5714260325584701,1.4915834696592107
985,65380,27,32180,0.5719058790076065,1.492199449372897
986,65353,27,32207,0.5723857254567427,1.4928159380594617
987,65326,27,32234,0.5728655719058791,1.4934329363499985
988,65299,27,32261,0.5733454183550153,1.4940504448766443
989,65272,27,32288,0.5738252648041515,1.4946684642725825
990,65245,27,32315,0.5743051112532879,1.4952869951720438
991,65218,27,32342,0.5747849577024241,1.49590603821031
992,65191,27,32369,0.5752648041515603,1.496525594023715
993,65164,27,32396,0.5757446506006967,1.4971456632496472
994,65137,27,32423,0.5762244970498329,1.4977662465265518
995,65110,27,32450,0.5767043434989693,1.4983873444939333
996,65083,27,32477,0.5771841899481055,1.4990089577923575
997,65056,27,32504,0.5776640363972417,1.499631087063453
998,65029,27,32531,0.5781438828463781,1.5002537329499146
999,65002,27,32558,0.5786237292955143,1.5008768960955048
1000,64975,27,32585,0.5791035757446507,1.5015005771450558
1001,64949,26,32611,0.5795656501030781,1.5021016489861276
1002,64923,26,32637,0.5800277244615056,1.5027032022549789
1003,64897,26,32663,0.5804897988199331,1.5033052375302403
1004,64871,26,32689,0.5809518731783607,1.5039077553914693
1005,64845,26,32715,0.5814139475367882,1.5045107564191533
