step,nodes,merges_this_step,cumulative_merges,u,mean_mass
101,93654,38,3906,0.06941778630838132,1.0417067076686528
102,93616,38,3944,0.07009312575531386,1.0421295505041872
103,93578,38,3982,0.07076846520224639,1.0425527367543654
104,93540,38,4020,0.07144380464917893,1.0429762668377165
105,93502,38,4058,0.07211914409611146,1.0434001411734508
106,93464,38,4096,0.072794483543044,1.0438243601814603
107,93426,38,4134,0.07346982298997654,1.0442489242823196
108,93388,38,4172,0.07414516243690908,1.0446738338972887
109,93350,38,4210,0.07482050188384161,1.0450990894483128
110,93312,38,4248,0.07549584133077415,1.0455246913580247
111,93274,38,4286,0.0761711807777067,1.0459506400497458
112,93236,38,4324,0.07684652022463923,1.0463769359474882
113,93198,38,4362,0.07752185967157177,1.0468035794759545
114,93160,38,4400,0.0781971991185043,1.047230571060541
