mass,count,pmf_collective,sample,state,u
91,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
111,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
130,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
204,1,0.0009380863039399625,healthy_reference,pre-event,0.3840039334589855
2,311,0.29229323308270677,healthy_reference,event,0.4338687208063591
3,164,0.15413533834586465,healthy_reference,event,0.4338687208063591
4,110,0.10338345864661654,healthy_reference,event,0.4338687208063591
5,73,0.06860902255639098,healthy_reference,event,0.4338687208063591
6,48,0.045112781954887216,healthy_reference,event,0.4338687208063591
7,38,0.03571428571428571,healthy_reference,event,0.4338687208063591
8,22,0.020676691729323307,healthy_reference,event,0.4338687208063591
9,18,0.016917293233082706,healthy_reference,event,0.4338687208063591
10,29,0.02725563909774436,healthy_reference,event,0.4338687208063591
11,14,0.013157894736842105,healthy_reference,event,0.4338687208063591
12,17,0.015977443609022556,healthy_reference,event,0.4338687208063591
13,15,0.014097744360902255,healthy_reference,event,0.4338687208063591
14,7,0.006578947368421052,healthy_reference,event,0.4338687208063591
15,7,0.006578947368421052,healthy_reference,event,0.4338687208063591
16,9,0.008458646616541353,healthy_reference,event,0.4338687208063591
17,11,0.010338345864661654,healthy_reference,event,0.4338687208063591
18,10,0.009398496240601503,healthy_reference,event,0.4338687208063591
19,7,0.006578947368421052,healthy_reference,event,0.4338687208063591
20,12,0.011278195488721804,healthy_reference,event,0.4338687208063591
21,13,0.012218045112781954,healthy_reference,event,0.4338687208063591
22,5,0.004699248120300752,healthy_reference,event,0.4338687208063591
23,5,0.004699248120300752,healthy_reference,event,0.4338687208063591
24,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
25,6,0.005639097744360902,healthy_reference,event,0.4338687208063591
26,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
27,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
28,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
29,5,0.004699248120300752,healthy_reference,event,0.4338687208063591
30,6,0.005639097744360902,healthy_reference,event,0.4338687208063591
31,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
32,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
33,5,0.004699248120300752,healthy_reference,event,0.4338687208063591
34,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
35,4,0.0037593984962406013,healthy_reference,event,0.4338687208063591
37,5,0.004699248120300752,healthy_reference,event,0.4338687208063591
38,6,0.005639097744360902,healthy_reference,event,0.4338687208063591
39,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
40,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
41,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
42,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
43,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
44,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
45,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
46,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
47,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
48,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
49,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
50,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
52,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
54,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
55,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
57,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
61,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
62,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
63,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
64,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
65,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
66,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
68,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
69,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
70,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
71,3,0.002819548872180451,healthy_reference,event,0.4338687208063591
73,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
75,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
76,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
78,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
79,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
80,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
86,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
87,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
88,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
89,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
100,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
108,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
124,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
136,2,0.0018796992481203006,healthy_reference,event,0.4338687208063591
198,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
378,1,0.0009398496240601503,healthy_reference,event,0.4338687208063591
2,306,0.28598130841121494,healthy_reference,post-event,0.4838974022781283
3,169,0.15794392523364487,healthy_reference,post-event,0.4838974022781283
4,101,0.09439252336448598,healthy_reference,post-event,0.4838974022781283
5,72,0.06728971962616823,healthy_reference,post-event,0.4838974022781283
6,51,0.04766355140186916,healthy_reference,post-event,0.4838974022781283
7,40,0.037383177570093455,healthy_reference,post-event,0.4838974022781283
8,23,0.02149532710280374,healthy_reference,post-event,0.4838974022781283
9,23,0.02149532710280374,healthy_reference,post-event,0.4838974022781283
10,26,0.024299065420560748,healthy_reference,post-event,0.4838974022781283
11,17,0.01588785046728972,healthy_reference,post-event,0.4838974022781283
12,20,0.018691588785046728,healthy_reference,post-event,0.4838974022781283
13,8,0.007476635514018692,healthy_reference,post-event,0.4838974022781283
14,16,0.014953271028037384,healthy_reference,post-event,0.4838974022781283
15,9,0.008411214953271028,healthy_reference,post-event,0.4838974022781283
16,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
17,9,0.008411214953271028,healthy_reference,post-event,0.4838974022781283
18,6,0.005607476635514018,healthy_reference,post-event,0.4838974022781283
19,14,0.013084112149532711,healthy_reference,post-event,0.4838974022781283
20,10,0.009345794392523364,healthy_reference,post-event,0.4838974022781283
21,8,0.007476635514018692,healthy_reference,post-event,0.4838974022781283
22,9,0.008411214953271028,healthy_reference,post-event,0.4838974022781283
23,7,0.0065420560747663555,healthy_reference,post-event,0.4838974022781283
25,6,0.005607476635514018,healthy_reference,post-event,0.4838974022781283
26,5,0.004672897196261682,healthy_reference,post-event,0.4838974022781283
28,4,0.003738317757009346,healthy_reference,post-event,0.4838974022781283
29,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
30,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
31,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
32,4,0.003738317757009346,healthy_reference,post-event,0.4838974022781283
33,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
34,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
35,7,0.0065420560747663555,healthy_reference,post-event,0.4838974022781283
36,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
37,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
38,5,0.004672897196261682,healthy_reference,post-event,0.4838974022781283
39,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
40,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
41,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
42,5,0.004672897196261682,healthy_reference,post-event,0.4838974022781283
43,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
44,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
45,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
46,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
48,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
49,3,0.002803738317757009,healthy_reference,post-event,0.4838974022781283
50,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
52,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
53,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
54,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
57,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
58,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
59,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
60,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
62,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
65,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
66,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
67,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
69,4,0.003738317757009346,healthy_reference,post-event,0.4838974022781283
70,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
72,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
74,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
75,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
76,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
77,1,0.0009345794392523365,healthy_reference,post-event,0.4838974022781283
80,2,0.001869158878504673,healthy_reference,post-event,0.4838974022781283
