mass,count,pmf_collective,sample,state,u
39,9,0.007305194805194805,nondiseased_kidney,early,0.100030750307503
40,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
41,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
42,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
43,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
44,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
45,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
47,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
48,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
49,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
50,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
51,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
52,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
53,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
55,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
59,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
62,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
63,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
64,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
65,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
68,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
71,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
74,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
81,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
87,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
88,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
94,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
99,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
115,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
145,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
151,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
162,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
204,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
251,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
2,435,0.3020833333333333,nondiseased_kidney,pre-event,0.3287412874128741
3,205,0.1423611111111111,nondiseased_kidney,pre-event,0.3287412874128741
4,111,0.07708333333333334,nondiseased_kidney,pre-event,0.3287412874128741
5,85,0.059027777777777776,nondiseased_kidney,pre-event,0.3287412874128741
6,62,0.043055555555555555,nondiseased_kidney,pre-event,0.3287412874128741
7,47,0.03263888888888889,nondiseased_kidney,pre-event,0.3287412874128741
8,51,0.035416666666666666,nondiseased_kidney,pre-event,0.3287412874128741
9,36,0.025,nondiseased_kidney,pre-event,0.3287412874128741
10,30,0.020833333333333332,nondiseased_kidney,pre-event,0.3287412874128741
11,25,0.017361111111111112,nondiseased_kidney,pre-event,0.3287412874128741
12,33,0.022916666666666665,nondiseased_kidney,pre-event,0.3287412874128741
13,22,0.015277777777777777,nondiseased_kidney,pre-event,0.3287412874128741
14,24,0.016666666666666666,nondiseased_kidney,pre-event,0.3287412874128741
15,13,0.009027777777777777,nondiseased_kidney,pre-event,0.3287412874128741
16,14,0.009722222222222222,nondiseased_kidney,pre-event,0.3287412874128741
17,11,0.007638888888888889,nondiseased_kidney,pre-event,0.3287412874128741
18,14,0.009722222222222222,nondiseased_kidney,pre-event,0.3287412874128741
19,6,0.004166666666666667,nondiseased_kidney,pre-event,0.3287412874128741
20,13,0.009027777777777777,nondiseased_kidney,pre-event,0.3287412874128741
21,6,0.004166666666666667,nondiseased_kidney,pre-event,0.3287412874128741
22,9,0.00625,nondiseased_kidney,pre-event,0.3287412874128741
23,5,0.003472222222222222,nondiseased_kidney,pre-event,0.3287412874128741
24,6,0.004166666666666667,nondiseased_kidney,pre-event,0.3287412874128741
25,10,0.006944444444444444,nondiseased_kidney,pre-event,0.3287412874128741
26,6,0.004166666666666667,nondiseased_kidney,pre-event,0.3287412874128741
27,6,0.004166666666666667,nondiseased_kidney,pre-event,0.3287412874128741
28,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
29,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
30,5,0.003472222222222222,nondiseased_kidney,pre-event,0.3287412874128741
31,9,0.00625,nondiseased_kidney,pre-event,0.3287412874128741
32,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
33,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
34,9,0.00625,nondiseased_kidney,pre-event,0.3287412874128741
35,5,0.003472222222222222,nondiseased_kidney,pre-event,0.3287412874128741
36,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
37,5,0.003472222222222222,nondiseased_kidney,pre-event,0.3287412874128741
38,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
39,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
40,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
41,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
42,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
43,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
44,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
45,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
46,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
47,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
48,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
49,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
50,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
51,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
52,4,0.002777777777777778,nondiseased_kidney,pre-event,0.3287412874128741
54,5,0.003472222222222222,nondiseased_kidney,pre-event,0.3287412874128741
55,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
56,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
57,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
58,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
59,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
60,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
61,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
64,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
66,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
67,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
69,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
71,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
72,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
73,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
75,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
76,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
80,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
81,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
87,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
88,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
92,3,0.0020833333333333333,nondiseased_kidney,pre-event,0.3287412874128741
95,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
97,2,0.001388888888888889,nondiseased_kidney,pre-event,0.3287412874128741
99,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
102,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
106,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
119,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
121,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
132,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
140,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
142,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
145,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
153,1,0.0006944444444444445,nondiseased_kidney,pre-event,0.3287412874128741
