u,null_lo,null_median,null_hi
0.03302583025830258,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03341533415334153,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.033804838048380484,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.034194341943419436,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03458384583845839,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03497334973349733,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.035362853628536285,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03575235752357524,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03614186141861419,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.036531365313653134,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.036920869208692086,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03731037310373104,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03769987699876999,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.038089380893808936,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03847888478884789,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03886838868388684,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03925789257892579,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.03964739647396474,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04003690036900369,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04042640426404264,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04081590815908159,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04120541205412054,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04159491594915949,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04198441984419844,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.042373923739237394,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04276342763427634,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04315293152931529,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.043542435424354244,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.043931939319393196,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04432144321443215,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04471094710947109,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.045100451004510045,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.045489954899549,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04587945879458795,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.046268962689626894,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.046658466584665846,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.0470479704797048,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.04743747437474375,4.100041000410004e-05,4.100041000410004e-05,5.125051250512505e-05
0.047826978269782695,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.04821648216482165,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.0486059860598606,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.04899548995489955,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.0493849938499385,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.04977449774497745,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.0501640016400164,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.05055350553505535,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.0509430094300943,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.05133251332513325,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.0517220172201722,4.100041000410004e-05,4.100041000410004e-05,6.150061500615006e-05
0.052111521115211154,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.052490774907749074,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.052870028700287,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05324928249282493,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.053628536285362856,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.054007790077900776,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.0543870438704387,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05476629766297663,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05514555145551456,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05552480524805248,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.055904059040590405,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05628331283312833,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05666256662566626,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05704182041820418,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05742107421074211,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.057800328003280034,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05817958179581796,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05855883558835588,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.05893808938089381,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
0.059317343173431736,4.100041000410004e-05,5.125051250512505e-05,6.150061500615006e-05
